Unnamed: 0,experiments,total_experiments,total_samples,interface,countries,languages,search_queries,video_id,video_title,video_url,video_link,description,creator_id,creator_url,creator_link,user_action_sets,origin_revs,samples,trials,begins,ends,average_order,captions,sentiment_score,sentiment_category,subjectivity
1018,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7304639473243933984,A far-right populist who has previously called for,https://www.tiktok.com/@vicenews/video/7304639473243933984,<a href='https://www.tiktok.com/@vicenews/video/7304639473243933984' target='_blank' rel='noreferrer nofollow'>Open video</a>,"A far-right populist who has previously called for a ban on the Qur’an, Islamic schools and mosques has emerged as a shock winner in the Dutch election. Geert Wilders is set to win 37 seats, well ahead of his nearest rival, putting him in the top position to form a ruling coalition and potentially become the country's next prime minister. #dutchelections #muslimtiktok #mosques #geertwilders #primeminister #election ",vicenews,https://www.tiktok.com/@vicenews,<a href='https://www.tiktok.com/@vicenews' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},6.0,"  An anti Islam politician who wants to ban mosques  wins the Dutch election.  A far right populist  was previously called for a ban on the Quran,  Islamic schools and mosques  as immersed.  The shock winner in the Dutch election,  Gertz Builders,  is set to win 37 seats ahead of his nearest rival,  putting him in the top position to  form a ruling coalition  and potentially  become the country's next prime minister. However,  he will now have to convince other parties to join  him in a coalition  with the target of seventy  six seats in the hundred and fifty seat parliament.  His election campaign,  builders has called for a total hulk to  accepting asylum seekers  and a referendum on the Netherlands leaving  the European Union,  dubbed an exit.  Builders turned down  his anti Islam rhetoric in the run up to the vote,  saying he was prepared to put in the fridge  his policies on banning the Quran,  mosques and Islamic schools.  The Netherlands will be returned to the Dutch,  the asylum tsunami and migration will be curbed,  he said in a statement.  After the polls emerged in 2,009.  The British government refused  to let him visit the country,  saying he posed a threat to community harmony  and therefore  public security.  Well, that's a very sad day for the United Kingdom.",0.8445,Very Positive,0.3989335317460317
1019,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7304691326711385377,New Dutch PM wants Islam banned #itvnews #netherla,https://www.tiktok.com/@itvnews/video/7304691326711385377,<a href='https://www.tiktok.com/@itvnews/video/7304691326711385377' target='_blank' rel='noreferrer nofollow'>Open video</a>,New Dutch PM wants Islam banned #itvnews #netherlands #dutch #politics #geertwilders ,itvnews,https://www.tiktok.com/@itvnews,<a href='https://www.tiktok.com/@itvnews' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},3.0,"  This man wants a ban on the Quran  and to shut down all mosques  and he could be about to lead the Netherlands.  He's been called the king of Islamophobia by critics  but far right here.  Vildes won the most votes in the Dutch general election  and immediately promised to cut immigration  and what he called the asylum tsunami.  He's anti Islam and his anti migration  and its complete shift to the right for the country.  His election pledges also included plans for DEXY,  a referendum on the Netherlands leaving the EU.  But it says comments on Islam  that have been the most controversial,  saying he wants a de Islamization of the Netherlands  and no mosques and no Islamic schools in the country.  In 2,009 he was even banned from coming to the UK  because his opinions threatened community harmony  and public safety.  However he needs to form a coalition to take power  so he might have to tone that down  if he wants to do a deal.  A left wing  Labour and green alliance came second in the polls  so you may have to turn to them.  Quick off the Mark to congratulate him  was Hungary's right wing PM  Victor Orban  posting this  saying the winds of change are here.",-0.704,Negative,0.3790309106098579
1020,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7304737421478874400,The anti-Islam populist nicknamed Mozart has just ,https://www.tiktok.com/@bbcnews/video/7304737421478874400,<a href='https://www.tiktok.com/@bbcnews/video/7304737421478874400' target='_blank' rel='noreferrer nofollow'>Open video</a>,"The anti-Islam populist nicknamed Mozart has just won the Dutch election, but who is he? #GeertWilders #Dutch #TheNetherlands #Netherlands #Holland #Politics #Europe #BBCNews",bbcnews,https://www.tiktok.com/@bbcnews,<a href='https://www.tiktok.com/@bbcnews' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},8.0,"  Meet Harris Builders,  the guy who just won the Dutch election.  The veteran anti Islam politician  bags enough seats to win.  But who exactly is he?  Nicknamed Mozart for his slicked back hair.  His radical rights Freedom Party  came to prominence on a series of promises,  including to limit what he called a tsunami  of migration,  to ensure people have more money in their pockets  and that they can find an affordable home.  In the past  he's come up with some pretty far right policies,  saying he wants to ban the Quran,  Islamic schools and mosques  and headscarfs in government buildings.  But now he's turning that down a little bit,  saying that these kinds of policies are going in the  cool cast the fridge.  Despite this,  there is a sense of concern among the Muslim community  that their sense of security  may no longer be quite so secure.  Today, over champagne and cake  inside the Freedom Party parliamentary headquarters,  who is builders  made a toast to the 2.3 million people  who voted for him  and told the BBC he was ready to compromise,  to lead a coalition  before the election.  The three other big parties  ruled out working with builders  because of his far right policies.  But there are already signs that could change  that will allow him to wield the influence he has  always wanted.",0.9939,Very Positive,0.454265873015873
1021,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7304785915040320801,Geerts Wilders’ far-right Freedom Party has won th,https://www.tiktok.com/@criticalanalysisuk/video/7304785915040320801,<a href='https://www.tiktok.com/@criticalanalysisuk/video/7304785915040320801' target='_blank' rel='noreferrer nofollow'>Open video</a>,Geerts Wilders’ far-right Freedom Party has won the most seats in the recent Dutch elections. Here’s why you should be worried. #news #dutch #netherlands #holland #geertwilders #islam #europe #ukraine #europeanunion #dutchelections ,criticalanalysisuk,https://www.tiktok.com/@criticalanalysisuk,<a href='https://www.tiktok.com/@criticalanalysisuk' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},0.0,"  Gert Wilder's far right anti Islam party has won  the most seats in the Dutch parliamentary elections.  Here's why you should be seriously worried.  The Party for freedom or PVP  won 37 out of 150 seats,  well ahead of any of its rivals.  Now they get the first shot at forming a government  by starting coalition talks of other parties.  If they manage to form a coalition  to take a majority in parliament,  then it is likely that wielders will be appointed prime  minister. So far  the Green Labour left wing Bloc has ruled out this idea  due to wielders extreme policies,  but other parties  such as the centrist and a SEA party  are considering it.  Wielders main policies include a ban on Islamic schools,  Qurans, mosques  and headscarfs,  a referendum to leave the EU,  closing the borders to immigrants,  asylum seeking refugees,  deporting all undocumented immigrants  and ending all support to Ukraine.  Rise of good  Wilders is a very warring sign for things to come.  He's run on the platform of blaming Muslims and  immigrants for most of the problems in the Netherlands,  despite the making up less than 5% of the population.  And he used dangerous language to describe them  such as Scrib  Moroccans in the Netherlands a scum  and comparing Muslims to Nazis.  There are many legitimate fears now  4 minorities in the Netherlands  and the rest of Europe  where it has become mainstream to be  racist towards Muslims and immigrants.  It also affects a huge double Standard in Europe,  where anti Semitism is of rightly intolerable,  but anti Muslim incitement is not just tolerated  but normalized.  For those who still think that being anti  Muslim is justified,  it is important to look back in history  as to where fascism and mass atrosity start.  It doesn't happen suddenly,  but begins with the demonization  and persecution of a particular group.  When a country suffers internally,  politicians often resort to the easy thing  and blame the outsiders for their problems.  History tells us that these divisive  and hateful tactics will only bring  terrible consequences for society,  yet we never seem to learn.",-0.9813,Very Negative,0.5227130325814537
1022,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7305171428117155104,What do you think of this? Let's treat each other ,https://www.tiktok.com/@tv.dutch/video/7305171428117155104,<a href='https://www.tiktok.com/@tv.dutch/video/7305171428117155104' target='_blank' rel='noreferrer nofollow'>Open video</a>,What do you think of this? Let's treat each other respectfully! <3 Wat vinden jullie hiervan? Laten we respectvol met elkaar omgaan! <3 #geertwilderspvv #geertwilders #pvv #europe #turkey #nederland #netherlands #ministerpresident #primeminister,tv.dutch,https://www.tiktok.com/@tv.dutch,<a href='https://www.tiktok.com/@tv.dutch' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},2.0,"  Today I have a message for the Turks.  Your government is fooling you into believing  that one day  you will become a member of the European Union.  Well, forget it.  You are no Europeans  and you will never be.  An Islamic state like Turkey does not belong to Europe.  All the values Europe stands for,  freedom, democracy,  human rights  are incompatible with Islam.  We do not want frisa  free travel for Turks coming to Europe either.  European governments that agree with this  will be voted out of office by the people.  Turkey voted for Erdogan,  a dangerous Islamist who raises the flag of Islam.  We do not want more,  but less Islam.  So, Turkey, stay away from us.  You are not welcome here.",-0.4104,Negative,0.4083333333333333
1023,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7343291896904600865,What do u think? #fyp #eurovision #eurovision2024 ,https://www.tiktok.com/@allthingsadam.ie/video/7343291896904600865,<a href='https://www.tiktok.com/@allthingsadam.ie/video/7343291896904600865' target='_blank' rel='noreferrer nofollow'>Open video</a>,What do u think? #fyp #eurovision #eurovision2024 #netherlands #nederland #joostklein ,allthingsadam.ie,https://www.tiktok.com/@allthingsadam.ie,<a href='https://www.tiktok.com/@allthingsadam.ie' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},10.0,"  I'm gonna tell you why  the Netherlands will do very well that Eurovision 2024.  But why you're not gonna win.  First of all  I wanna say  I love the song Euro papa so much.  But this is just my analysis.  And for this video  we're gonna say  the Netherlands are already in the final,  cause they already basically are.  So let's start off with the public vote.  Euro papa can definitely win the public function  Eurovision. It is so fresh, so unique.  If there's good vocals,  good rap, if the staging is epic,  if the story from the music video  of his two parents dying,  if that's put into the live performance  and the viewers can feel an emotional connection.  And people watching a homo just think it's so cool.  Some people may think it's a carry out rip off.  Carry out from wish.  Not my thoughts,  but other people's thoughts.  But yeah, if it's slick,  professional phone,  it definitely could win the public vote.  There will be competition from RIM,  Tim Tyke, dim from Croatia,  but definitely still can win.  Now let's talk about the Jerry's.  The Jerry's are 50%.  And there's a reason why  Euro papa is not gonna win Eurovision.  Let's say if Euro papa wins the public vote  and gets a huge score.  You need this much from the jury's to win your vision.  Euro papa is only capable of getting this much  from the jury's.  This much does not equal this much.  Which means  Euro Papa cannot win Eurovision.  I'm not saying  the jury's are gonna absolutely detest Euro papa,  but in reality  there is a bit of game of key lyrics.  The song is a bit game of key.  And like Cha Cha Cha  last year only got 150 points from the Jerry's.  The Jerry's just don't like rap.  They're not gonna give it over 200.  And if your old papa  cannot get over 180 points from the Jerry's,  it cannot win Eurovision.  And I don't think it can get over 180 points.  Like if we switch tables,  like Australia like  got a huge Jerry score in 2016,  they got over 300 points,  but then they got 190 points from the public.  Let's say if you do really well in one category  and okay in another category,  that's not enough to win Eurovision.  So I think Euro papa can do very well.  It can come top five,  it can even come second.  But the maths are not there  for Euro papa to win Eurovision 2024.",0.9911,Very Positive,0.43850574712643653
1024,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7350029131142270240,Congratulations to Maria Walsh and Nina Carberry o,https://www.tiktok.com/@finegael/video/7350029131142270240,<a href='https://www.tiktok.com/@finegael/video/7350029131142270240' target='_blank' rel='noreferrer nofollow'>Open video</a>,Congratulations to Maria Walsh and Nina Carberry on being selected as Fine Gael candidates for the European elections in the Midlands North-West constituency. #EUelections2024 🇪🇺,finegael,https://www.tiktok.com/@finegael,<a href='https://www.tiktok.com/@finegael' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},4.0,"  We're here in Athlone and we have just selected to see  two Phinegail  candidates for the Midlands Northwest European constituency.  Here's more about them. Hi,  I'm Maria Walsh, MEP and I'm seeking reelection on June 7th.  Three key priorities for me are a thriving rural economy,  making sure our small families,  farm families are getting all the support they need  and ensuring our SMEs are also getting that support.  Incredibly important. I'm Nina Carbrey  and I'm running in this year's European elections  for the Midlands North West constituency,  and my priorities are rural development,  opportunity and education  and reducing red tape for farmers.  I'm really looking forward to getting to work on these campaigns.  For more information on these brilliant candidates,  Nina and Maria, go to Finnoway.",0.9476,Very Positive,0.4222222222222222
1025,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7362872629130333473,Unser Kandidat Philipp Mathmann fasst hier für euc,https://www.tiktok.com/@gruenemuenster/video/7362872629130333473,<a href='https://www.tiktok.com/@gruenemuenster/video/7362872629130333473' target='_blank' rel='noreferrer nofollow'>Open video</a>,"Unser Kandidat Philipp Mathmann fasst hier für euch unsere zentralen Ziele im Bereich Landwirtschaft und Naturschutz aus unserem Europawahlprogramm zusammen:  Als GRÜNE kämpfen wir für eine Landwirtschaft, die sowohl für die Produzent*innen als auch für die Konsument*innen fair ist.  In Bezug auf die Landwirtschaft spielt auch der Naturschutz eine wichtige Rolle, weshalb wir GRÜNE den Green Deal erweitern möchten, um die Natur und uns alle zu schützen. 💚 English: Our candidate Philipp Mathmann summarizes our central goals in the area of agriculture and nature conservation from our European election manifesto for you here:  As GREENS, we are fighting for agriculture that is fair for both producers and consumers.  Nature conservation also plays an important role in agriculture, which is why we GREENS want to expand the Green Deal to protect nature and all of us.💚#euelections2024 #naturschutz #landwirtschaft ",gruenemuenster,https://www.tiktok.com/@gruenemuenster,<a href='https://www.tiktok.com/@gruenemuenster' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},5.0,"  hello,  My name is Philipp martmann and I am the  european candidate  for The Greens in Münster.  Agriculture  and nature conservation  are 2 very central concerns for us green ones.  we want to create 1 system in agriculture,  what us humans  can eat healthy and healthy food  creates for everything.  But we also want to create agriculture,  which is fair for the people who consume,  but also for the people who work in agriculture  work and produce there.  we want to have agriculture,  which in accordance with  with social standards and with nature is.  Nature conservation is the 2nd important issue at this point.  we want to expand and expand the green deal.  1 Green deal that protects nature,  protects our livelihoods and thus ourselves.",0.9782,Very Positive,0.38106060606060604
1026,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7362913635544370464,Change starts here. Sinn Féin is running a record ,https://www.tiktok.com/@sinnfein/video/7362913635544370464,<a href='https://www.tiktok.com/@sinnfein/video/7362913635544370464' target='_blank' rel='noreferrer nofollow'>Open video</a>,Change starts here. Sinn Féin is running a record number of candidates in the Local and European elections and standing in every single electoral area. This is the most important election for a generation because of housing. A vote for Sinn Féin is a vote to end the housing crisis. It's time for change. - Mary Lou McDonald  #timeforchange #election #irishnews ,sinnfein,https://www.tiktok.com/@sinnfein,<a href='https://www.tiktok.com/@sinnfein' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},9.0,"  So you all remember, after the 2020 general election,  I couldn't walk the lent of myself  without being told that we didn't run enough candidates.  People stop me in the streets,  at matches, at concerts,  shouted it to me from car windows,  stop me in the supermarket.  I couldn't buy a slice pan without somebody saying it to me.  So to you all, I now present  Xinfain's record number of candidates  for the local and the European elections.  We're running our largest number of candidates  and we are standing in every single electoral area.  So this is,  this is a really big team effort.  And so I have asked a very big man from Johnny Goal  to act as campaign director.  That would be the Bails Pierce Doctrine.  My friends, we are the party of change.  Change that means a roof over your head,  a secure, affordable home.  Change that means being able to see a doctor when you're sick,  getting the right care in the right place at the right time.  A future where life is affordable,  where a job provides a decent living  and when you can retire at 65 with your pension.  Change that means safe communities,  strong communities, built from the grassroots up,  protected by resourcing. Ungarthor  she icon of fully  and by ambitiously investing in community development,  in youth work, in the amazing talent and potential of our young people.  Change means a government,  a society that has the backs of ordinary people.  Friends, the Greatest failure of this government is in housing.  This is the most important local and European elections  for a generation. Because of housing.  Tens of thousands languishing on council housing lists.  Rip off friends. A whole generation locked out of home ownership  and record and growing homelessness.  Homes are out of reach because this government is out of touch.  And the inability to find an affordable home,  to lay down roots, to build a good life,  is driving so many young people out of Ireland  in search of opportunity abroad.  We say, enough of that.  It's now time to turn the tides.  We want, we need our young people here in Ireland,  our young people living abroad,  to have the opportunity to come back and pursue happiness at home.  We want our economy to thrive,  our society to blossom. Key to this is fixing housing.  And that means delivering  the biggest housing program in the history of the state.  So a vote for Shinfain in these elections  is the vote for affordable housing  to rent or buy.  A vote for Shinfain is the vote for more council housing.  A vote for Shinfain is the vote to end the housing crisis.  Shen Fein has the plan. Shen Fein has the man in Owen O Brin.  The government and the European Commission  may seek to dismantle Ireland's neutrality, but we will defend us.  Commission President Ursula Vanderline  showed her hand when she stood shoulder to shoulder with Israel  as they committed slaughter.  And war crimes against the people of Gaza.  She did not stand for us. She did not speak for us.  She never, ever will.  So it beggars belief that Fiona fall Infinity  Gail MEPS will line up to give her a second term in office. We will not.  We stand with the people of Palestine in their struggle for freedom,  for statehood, for peace,  for the end of apartheid and an end to the occupation.  That's who we are.  I was on the canvas. People are asking us,  when are you getting this loss out of government?  Yeah,  well, the truth is,  if you want change,  if you want to see the back of this failed government,  then you have to show up and you have to vote for us.  The first step is by voting for Shen Fein on June 7th.  Backing Shen Fein. We will work hard.  We won't let people down, because we're all in this together.  In the end,  these next six weeks really,  really matter. So keep your shoulders to the wheel.  Keep working hard in your communities and standing up for people.  Keep believing,  believing that we will achieve the Republic and the new Ireland.  So let's do this.  Let's leave us all on the pitch and on the dance floor.  Let's get the job done.  Let's deliver real change and a better future for everyone.",0.9843,Very Positive,0.4051374786829332
1028,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7363550462580133153,Running for Mayor of London 2024 👉 @NatalieDCampbe,https://www.tiktok.com/@howibecame__/video/7363550462580133153,<a href='https://www.tiktok.com/@howibecame__/video/7363550462580133153' target='_blank' rel='noreferrer nofollow'>Open video</a>,Running for Mayor of London 2024 👉 @NatalieDCampbell #teamcampbell #mayoroflondon #london #greaterlondon #elections #londonmayor #labour #tory #conservative #ukpolitics #londontiktok #ukgovernment ,howibecame__,https://www.tiktok.com/@howibecame__,<a href='https://www.tiktok.com/@howibecame__' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},7.0,"  I get to choose to run to be Mayor of London!  Running for mayor and self funding it  and having  people criticize every single thing that I do and tell me on a daily basis,  multiple times a day that I will not win,  it's not fun. It's basically waking up and running a brick wall everyday,  multiple times a day and then going,  “I’m just gonna do it again!” but  I get to choose to do this, right?  That is a privilege  and I can have policies that I really care about and I can talk to people like,  there's a joy and a gift in that,  that no matter how hard and challenging it gets,  the reality when you step back is, I get to do it.",0.9504,Very Positive,0.29935897435897435
