Unnamed: 0,experiments,total_experiments,total_samples,interface,countries,languages,search_queries,video_id,video_title,video_url,video_link,description,creator_id,creator_url,creator_link,user_action_sets,origin_revs,samples,trials,begins,ends,average_order
1018,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7304639473243933984,A far-right populist who has previously called for,https://www.tiktok.com/@vicenews/video/7304639473243933984,<a href='https://www.tiktok.com/@vicenews/video/7304639473243933984' target='_blank' rel='noreferrer nofollow'>Open video</a>,"A far-right populist who has previously called for a ban on the Qur’an, Islamic schools and mosques has emerged as a shock winner in the Dutch election. Geert Wilders is set to win 37 seats, well ahead of his nearest rival, putting him in the top position to form a ruling coalition and potentially become the country's next prime minister. #dutchelections #muslimtiktok #mosques #geertwilders #primeminister #election ",vicenews,https://www.tiktok.com/@vicenews,<a href='https://www.tiktok.com/@vicenews' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},6.0
1019,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7304691326711385377,New Dutch PM wants Islam banned #itvnews #netherla,https://www.tiktok.com/@itvnews/video/7304691326711385377,<a href='https://www.tiktok.com/@itvnews/video/7304691326711385377' target='_blank' rel='noreferrer nofollow'>Open video</a>,New Dutch PM wants Islam banned #itvnews #netherlands #dutch #politics #geertwilders ,itvnews,https://www.tiktok.com/@itvnews,<a href='https://www.tiktok.com/@itvnews' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},3.0
1020,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7304737421478874400,The anti-Islam populist nicknamed Mozart has just ,https://www.tiktok.com/@bbcnews/video/7304737421478874400,<a href='https://www.tiktok.com/@bbcnews/video/7304737421478874400' target='_blank' rel='noreferrer nofollow'>Open video</a>,"The anti-Islam populist nicknamed Mozart has just won the Dutch election, but who is he? #GeertWilders #Dutch #TheNetherlands #Netherlands #Holland #Politics #Europe #BBCNews",bbcnews,https://www.tiktok.com/@bbcnews,<a href='https://www.tiktok.com/@bbcnews' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},8.0
1021,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7304785915040320801,Geerts Wilders’ far-right Freedom Party has won th,https://www.tiktok.com/@criticalanalysisuk/video/7304785915040320801,<a href='https://www.tiktok.com/@criticalanalysisuk/video/7304785915040320801' target='_blank' rel='noreferrer nofollow'>Open video</a>,Geerts Wilders’ far-right Freedom Party has won the most seats in the recent Dutch elections. Here’s why you should be worried. #news #dutch #netherlands #holland #geertwilders #islam #europe #ukraine #europeanunion #dutchelections ,criticalanalysisuk,https://www.tiktok.com/@criticalanalysisuk,<a href='https://www.tiktok.com/@criticalanalysisuk' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},0.0
1022,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7305171428117155104,What do you think of this? Let's treat each other ,https://www.tiktok.com/@tv.dutch/video/7305171428117155104,<a href='https://www.tiktok.com/@tv.dutch/video/7305171428117155104' target='_blank' rel='noreferrer nofollow'>Open video</a>,What do you think of this? Let's treat each other respectfully! <3 Wat vinden jullie hiervan? Laten we respectvol met elkaar omgaan! <3 #geertwilderspvv #geertwilders #pvv #europe #turkey #nederland #netherlands #ministerpresident #primeminister,tv.dutch,https://www.tiktok.com/@tv.dutch,<a href='https://www.tiktok.com/@tv.dutch' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},2.0
1023,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7343291896904600865,What do u think? #fyp #eurovision #eurovision2024 ,https://www.tiktok.com/@allthingsadam.ie/video/7343291896904600865,<a href='https://www.tiktok.com/@allthingsadam.ie/video/7343291896904600865' target='_blank' rel='noreferrer nofollow'>Open video</a>,What do u think? #fyp #eurovision #eurovision2024 #netherlands #nederland #joostklein ,allthingsadam.ie,https://www.tiktok.com/@allthingsadam.ie,<a href='https://www.tiktok.com/@allthingsadam.ie' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},10.0
1024,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7350029131142270240,Congratulations to Maria Walsh and Nina Carberry o,https://www.tiktok.com/@finegael/video/7350029131142270240,<a href='https://www.tiktok.com/@finegael/video/7350029131142270240' target='_blank' rel='noreferrer nofollow'>Open video</a>,Congratulations to Maria Walsh and Nina Carberry on being selected as Fine Gael candidates for the European elections in the Midlands North-West constituency. #EUelections2024 🇪🇺,finegael,https://www.tiktok.com/@finegael,<a href='https://www.tiktok.com/@finegael' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},4.0
1025,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7362872629130333473,Unser Kandidat Philipp Mathmann fasst hier für euc,https://www.tiktok.com/@gruenemuenster/video/7362872629130333473,<a href='https://www.tiktok.com/@gruenemuenster/video/7362872629130333473' target='_blank' rel='noreferrer nofollow'>Open video</a>,"Unser Kandidat Philipp Mathmann fasst hier für euch unsere zentralen Ziele im Bereich Landwirtschaft und Naturschutz aus unserem Europawahlprogramm zusammen:  Als GRÜNE kämpfen wir für eine Landwirtschaft, die sowohl für die Produzent*innen als auch für die Konsument*innen fair ist.  In Bezug auf die Landwirtschaft spielt auch der Naturschutz eine wichtige Rolle, weshalb wir GRÜNE den Green Deal erweitern möchten, um die Natur und uns alle zu schützen. 💚 English: Our candidate Philipp Mathmann summarizes our central goals in the area of agriculture and nature conservation from our European election manifesto for you here:  As GREENS, we are fighting for agriculture that is fair for both producers and consumers.  Nature conservation also plays an important role in agriculture, which is why we GREENS want to expand the Green Deal to protect nature and all of us.💚#euelections2024 #naturschutz #landwirtschaft ",gruenemuenster,https://www.tiktok.com/@gruenemuenster,<a href='https://www.tiktok.com/@gruenemuenster' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},5.0
1026,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7362913635544370464,Change starts here. Sinn Féin is running a record ,https://www.tiktok.com/@sinnfein/video/7362913635544370464,<a href='https://www.tiktok.com/@sinnfein/video/7362913635544370464' target='_blank' rel='noreferrer nofollow'>Open video</a>,Change starts here. Sinn Féin is running a record number of candidates in the Local and European elections and standing in every single electoral area. This is the most important election for a generation because of housing. A vote for Sinn Féin is a vote to end the housing crisis. It's time for change. - Mary Lou McDonald  #timeforchange #election #irishnews ,sinnfein,https://www.tiktok.com/@sinnfein,<a href='https://www.tiktok.com/@sinnfein' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},9.0
1027,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7363344621008735520,Change starts with the local and European election,https://www.tiktok.com/@davidjones084/video/7363344621008735520,<a href='https://www.tiktok.com/@davidjones084/video/7363344621008735520' target='_blank' rel='noreferrer nofollow'>Open video</a>,"Change starts with the local and European elections.  If you want change, you have to vote for it in the European elections, in the local elections, and in the General Election when it comes. The number of candidates that Sinn Féin are running in the local elections is testament to our ambition to deliver change in every LEA across and to have representatives on every council after the local elections on June 7th.  We want councils to deliver for communities on housing, on planning and on delivering better local services. We are determined to elect the strongest possible team of Sinn Féin councillors to work with a SF led government after the next general election delivering the largest social and affordable home building programme in the history of the state. Voting for Sinn Féin in this election is the first step to getting this disastrous government out of office. A vote for Sinn Féin in the local elections is a vote for change. #votemichellegilnernewno1 #electaworker #votejonesno1 #voteforchange2024 #Westmeath ",davidjones084,https://www.tiktok.com/@davidjones084,<a href='https://www.tiktok.com/@davidjones084' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},1.0
1028,{'general'},0,0,tk0,{'nl'},{'en'},{'anti-war candidate european elections 2024 netherlands'},7363550462580133153,Running for Mayor of London 2024 👉 @NatalieDCampbe,https://www.tiktok.com/@howibecame__/video/7363550462580133153,<a href='https://www.tiktok.com/@howibecame__/video/7363550462580133153' target='_blank' rel='noreferrer nofollow'>Open video</a>,Running for Mayor of London 2024 👉 @NatalieDCampbell #teamcampbell #mayoroflondon #london #greaterlondon #elections #londonmayor #labour #tory #conservative #ukpolitics #londontiktok #ukgovernment ,howibecame__,https://www.tiktok.com/@howibecame__,<a href='https://www.tiktok.com/@howibecame__' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__nl__en__netherlands'},{'2024-04-28T15:30:00'},{'3906'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_505_1'},{'2024-04-30T08:14:17.574597'},{'2024-04-30T08:14:17.574632'},7.0
1194,{'general'},0,0,tk0,{'pl'},{'en'},{'anti-war candidate european elections 2024 poland'},7193675645933718790,Which Countries Hate Germany? 🇩🇪 #Germany #Poland ,https://www.tiktok.com/@mapmatica/video/7193675645933718790,<a href='https://www.tiktok.com/@mapmatica/video/7193675645933718790' target='_blank' rel='noreferrer nofollow'>Open video</a>,"Which Countries Hate Germany? 🇩🇪 #Germany #Poland #France #WWII #WW2 #Military #InternationalRelations #Geopolitics Which countries hate Germany? One Poland. Poland dislikes Germany due to historical conflicts similar to country number two France. During World War Two, Germany invaded and occupied both Poland and France, leading to significant loss of life and damage to both countries. And three, Greece relations between Germany and Greece were strained in recent years due to the debt crisis and the austerity measures imposed by Germany and other European countries as a condition for Greece's economic bailout.",mapmatica,https://www.tiktok.com/@mapmatica,<a href='https://www.tiktok.com/@mapmatica' target='_blank' rel='noreferrer nofollow'>Open creator page</a>,{'general_adversarial5__pl__en__poland'},{'2024-04-28T15:30:00'},{'3908'},{'eu24--tk0_scheduled__2024-04-30T06:40:00+00:00_507_1'},{'2024-04-30T08:14:20.076079'},{'2024-04-30T08:14:20.076102'},10.0
